"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"170",2010-10-01,424,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,NA,NA,2010,"Fall","October",13
"171",2011-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Spring","June",11.6
"172",2011-07-01,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2011,"Summer","July",13.9
"173",2011-08-01,44,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,2011,"Summer","August",14.5
"174",2011-09-01,647,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,2011,"Summer","September",13.7
"175",2011-10-01,559,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,NA,2011,"Fall","October",12.5
"176",2012-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Spring","June",12.5
"177",2012-07-01,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2012,"Summer","July",13.6
"178",2012-08-01,37,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,2012,"Summer","August",14
"179",2012-09-01,417,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,2012,"Summer","September",12.6
"180",2012-10-01,289,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,2012,"Fall","October",12.4
"181",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2013,"Spring","June",13
"182",2013-07-01,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2013,"Summer","July",13.3
"183",2013-08-01,34,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,2013,"Summer","August",13.7
"184",2013-09-01,495,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,NA,NA,NA,2013,"Summer","September",13.3
"185",2013-10-01,243,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,NA,NA,NA,2013,"Fall","October",12.1
"186",2014-01-03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,42,2014,"Winter","January",6.9
"187",2014-01-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,25,2014,"Winter","January",6.5
"188",2014-01-08,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,40,2014,"Winter","January",6.6
"189",2014-01-10,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,24,2014,"Winter","January",6.7
"190",2014-01-13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,65,2014,"Winter","January",6.9
"191",2014-01-15,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,2014,"Winter","January",7
"192",2014-01-17,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,79,2014,"Winter","January",6.8
"193",2014-01-21,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,37,2014,"Winter","January",6.5
"194",2014-01-22,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17,2014,"Winter","January",6.5
"195",2014-01-24,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,21,2014,"Winter","January",6.2
"196",2014-01-27,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,2014,"Winter","January",6.2
"197",2014-01-29,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,19,2014,"Winter","January",6.3
