"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"71",2014-06-23,12.6,2014,"Summer",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,9
"72",2014-06-25,12.1,2014,"Summer",NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,9
"73",2014-06-27,11.9,2014,"Summer",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,9
"74",2014-06-30,12.5,2014,"Summer",NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,5,22
"75",2014-07-03,12.5,2014,"Summer",NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,7,24
"76",2014-07-07,13.1,2014,"Summer",NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,2,NA,6,16
"77",2014-07-09,13.5,2014,"Summer",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,2,12
"78",2014-07-11,13.9,2014,"Summer",NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,9,19
"79",2014-07-14,14.3,2014,"Summer",NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,11
"80",2014-07-16,14.3,2014,"Summer",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,5,14
"81",2014-07-18,13.4,2014,"Summer",NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,16,21
"82",2014-07-21,13.2,2014,"Summer",NA,NA,NA,NA,6,1,NA,1,NA,1,NA,1,NA,15,25
"83",2014-07-23,13.3,2014,"Summer",NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,2,NA,5,19
"84",2014-07-25,13.4,2014,"Summer",NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,8
"85",2014-07-28,12.9,2014,"Summer",NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,4,10
"86",2014-07-30,12.9,2014,"Summer",NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,5
"87",2014-08-01,12.8,2014,"Summer",NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,NA,1,9
"88",2014-08-04,12.9,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3
"89",2014-08-06,13.1,2014,"Summer",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3
"90",2014-08-08,13.1,2014,"Summer",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,5
"91",2014-08-11,13.1,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,3
"92",2014-08-13,13,2014,"Summer",NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,6
"93",2014-08-15,13.1,2014,"Summer",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3
"94",2014-08-18,13.3,2014,"Summer",NA,NA,NA,NA,2,4,NA,NA,1,3,NA,NA,NA,5,15
"95",2014-08-20,13.1,2014,"Summer",NA,NA,NA,NA,1,1,NA,NA,2,5,NA,NA,NA,2,11
"96",2014-08-22,13,2014,"Summer",NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,7
"97",2014-08-25,13.7,2014,"Summer",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3
"98",2014-08-27,13,2014,"Summer",NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5
"99",2014-08-29,13.1,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"100",2014-09-02,13.3,2014,"Summer",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2
"101",2014-09-03,13.2,2014,"Summer",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"102",2014-09-05,13.2,2014,"Summer",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2
"103",2014-09-08,13.1,2014,"Summer",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"104",2014-09-12,13.1,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4
"105",2014-09-15,13,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"106",2014-09-18,13.1,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
